variant_name,mask_name,width_core,halo_width,keep_core,keep_halo,side_sigma,feather_radius,core_coverage_percent,halo_coverage_percent,edit_coverage_percent,mean_abs_removed_core,mean_abs_removed_halo,mean_abs_removed_outside,core_outside_ratio
C90b_wc3_h8_kc0.10_kh0.3_s15,C90b,3,8,0.1,0.3,15.0,2.0,2.2777952206523637,12.61531484388627,14.893110064538636,199.47039794921875,151.6616973876953,0.0,199470397.94921875
C90b_wc5_h4_kc0.00_kh0.2_s10,C90b,5,4,0.0,0.2,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,219.1758575439453,165.056396484375,0.0,219175857.5439453
C90b_wc5_h4_kc0.00_kh0.3_s10,C90b,5,4,0.0,0.3,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,219.1758575439453,144.42430114746094,0.0,219175857.5439453
C90b_wc5_h4_kc0.05_kh0.2_s10,C90b,5,4,0.05,0.2,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,208.21705627441406,165.056396484375,0.0,208217056.27441406
C90b_wc5_h4_kc0.05_kh0.3_s10,C90b,5,4,0.05,0.3,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,208.21705627441406,144.42430114746094,0.0,208217056.27441406
C90b_wc5_h4_kc0.10_kh0.2_s10,C90b,5,4,0.1,0.2,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,197.25828552246094,165.056396484375,0.0,197258285.52246094
C90b_wc5_h4_kc0.10_kh0.3_s10,C90b,5,4,0.1,0.3,10.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,197.25828552246094,144.42430114746094,0.0,197258285.52246094
C90b_wc5_h4_kc0.00_kh0.2_s15,C90b,5,4,0.0,0.2,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,223.63111877441406,171.4532928466797,0.0,223631118.77441406
C90b_wc5_h4_kc0.00_kh0.3_s15,C90b,5,4,0.0,0.3,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,223.63111877441406,150.0215301513672,0.0,223631118.77441406
C90b_wc5_h4_kc0.05_kh0.2_s15,C90b,5,4,0.05,0.2,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,212.44955444335938,171.4532928466797,0.0,212449554.44335938
C90b_wc5_h4_kc0.05_kh0.3_s15,C90b,5,4,0.05,0.3,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,212.44955444335938,150.0215301513672,0.0,212449554.44335938
C90b_wc5_h4_kc0.10_kh0.2_s15,C90b,5,4,0.1,0.2,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,201.2680206298828,171.4532928466797,0.0,201268020.6298828
C90b_wc5_h4_kc0.10_kh0.3_s15,C90b,5,4,0.1,0.3,15.0,2.0,5.140589569160998,6.206017791732077,11.346607360893076,201.2680206298828,150.0215301513672,0.0,201268020.6298828
C90b_wc5_h8_kc0.00_kh0.2_s10,C90b,5,8,0.0,0.2,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,232.86712646484375,163.11215209960938,0.0,232867126.46484375
C90b_wc5_h8_kc0.00_kh0.3_s10,C90b,5,8,0.0,0.3,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,232.86712646484375,142.72303771972656,0.0,232867126.46484375
C90b_wc5_h8_kc0.05_kh0.2_s10,C90b,5,8,0.05,0.2,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,221.22378540039062,163.11215209960938,0.0,221223785.40039062
C90b_wc5_h8_kc0.05_kh0.3_s10,C90b,5,8,0.05,0.3,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,221.22378540039062,142.72303771972656,0.0,221223785.40039062
C90b_wc5_h8_kc0.10_kh0.2_s10,C90b,5,8,0.1,0.2,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,209.58042907714844,163.11215209960938,0.0,209580429.07714844
C90b_wc5_h8_kc0.10_kh0.3_s10,C90b,5,8,0.1,0.3,10.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,209.58042907714844,142.72303771972656,0.0,209580429.07714844
C90b_wc5_h8_kc0.00_kh0.2_s15,C90b,5,8,0.0,0.2,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,233.70932006835938,166.477783203125,0.0,233709320.06835938
C90b_wc5_h8_kc0.00_kh0.3_s15,C90b,5,8,0.0,0.3,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,233.70932006835938,145.6680145263672,0.0,233709320.06835938
C90b_wc5_h8_kc0.05_kh0.2_s15,C90b,5,8,0.05,0.2,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,222.0238800048828,166.477783203125,0.0,222023880.0048828
C90b_wc5_h8_kc0.05_kh0.3_s15,C90b,5,8,0.05,0.3,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,222.0238800048828,145.6680145263672,0.0,222023880.0048828
C90b_wc5_h8_kc0.10_kh0.2_s15,C90b,5,8,0.1,0.2,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,210.33839416503906,166.477783203125,0.0,210338394.16503906
C90b_wc5_h8_kc0.10_kh0.3_s15,C90b,5,8,0.1,0.3,15.0,2.0,5.140589569160998,13.708442351299494,18.84903192046049,210.33839416503906,145.6680145263672,0.0,210338394.16503906
C90b_wc7_h4_kc0.00_kh0.2_s10,C90b,7,4,0.0,0.2,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,225.3602294921875,158.0795440673828,0.0,225360229.4921875
C90b_wc7_h4_kc0.00_kh0.3_s10,C90b,7,4,0.0,0.3,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,225.3602294921875,138.3195343017578,0.0,225360229.4921875
C90b_wc7_h4_kc0.05_kh0.2_s10,C90b,7,4,0.05,0.2,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,214.09222412109375,158.0795440673828,0.0,214092224.12109375
C90b_wc7_h4_kc0.05_kh0.3_s10,C90b,7,4,0.05,0.3,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,214.09222412109375,138.3195343017578,0.0,214092224.12109375
C90b_wc7_h4_kc0.10_kh0.2_s10,C90b,7,4,0.1,0.2,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,202.82421875,158.0795440673828,0.0,202824218.75
C90b_wc7_h4_kc0.10_kh0.3_s10,C90b,7,4,0.1,0.3,10.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,202.82421875,138.3195343017578,0.0,202824218.75
C90b_wc7_h4_kc0.00_kh0.2_s15,C90b,7,4,0.0,0.2,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,227.84849548339844,164.00830078125,0.0,227848495.48339844
C90b_wc7_h4_kc0.00_kh0.3_s15,C90b,7,4,0.0,0.3,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,227.84849548339844,143.5072021484375,0.0,227848495.48339844
C90b_wc7_h4_kc0.05_kh0.2_s15,C90b,7,4,0.05,0.2,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,216.45608520507812,164.00830078125,0.0,216456085.20507812
C90b_wc7_h4_kc0.05_kh0.3_s15,C90b,7,4,0.05,0.3,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,216.45608520507812,143.5072021484375,0.0,216456085.20507812
C90b_wc7_h4_kc0.10_kh0.2_s15,C90b,7,4,0.1,0.2,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,205.0636444091797,164.00830078125,0.0,205063644.4091797
C90b_wc7_h4_kc0.10_kh0.3_s15,C90b,7,4,0.1,0.3,15.0,2.0,8.024001395429966,6.63886272457701,14.662864120006978,205.0636444091797,143.5072021484375,0.0,205063644.4091797
C90b_wc7_h8_kc0.00_kh0.2_s10,C90b,7,8,0.0,0.2,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,236.2236328125,156.5979766845703,0.0,236223632.8125
C90b_wc7_h8_kc0.00_kh0.3_s10,C90b,7,8,0.0,0.3,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,236.2236328125,137.02317810058594,0.0,236223632.8125
C90b_wc7_h8_kc0.05_kh0.2_s10,C90b,7,8,0.05,0.2,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,224.41241455078125,156.5979766845703,0.0,224412414.55078125
C90b_wc7_h8_kc0.05_kh0.3_s10,C90b,7,8,0.05,0.3,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,224.41241455078125,137.02317810058594,0.0,224412414.55078125
C90b_wc7_h8_kc0.10_kh0.2_s10,C90b,7,8,0.1,0.2,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,212.6012420654297,156.5979766845703,0.0,212601242.0654297
C90b_wc7_h8_kc0.10_kh0.3_s10,C90b,7,8,0.1,0.3,10.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,212.6012420654297,137.02317810058594,0.0,212601242.0654297
C90b_wc7_h8_kc0.00_kh0.2_s15,C90b,7,8,0.0,0.2,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,236.02622985839844,159.78280639648438,0.0,236026229.85839844
C90b_wc7_h8_kc0.00_kh0.3_s15,C90b,7,8,0.0,0.3,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,236.02622985839844,139.80990600585938,0.0,236026229.85839844
C90b_wc7_h8_kc0.05_kh0.2_s15,C90b,7,8,0.05,0.2,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,224.22483825683594,159.78280639648438,0.0,224224838.25683594
C90b_wc7_h8_kc0.05_kh0.3_s15,C90b,7,8,0.05,0.3,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,224.22483825683594,139.80990600585938,0.0,224224838.25683594
C90b_wc7_h8_kc0.10_kh0.2_s15,C90b,7,8,0.1,0.2,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,212.42356872558594,159.78280639648438,0.0,212423568.72558594
C90b_wc7_h8_kc0.10_kh0.3_s15,C90b,7,8,0.1,0.3,15.0,2.0,8.024001395429966,14.317599860457003,22.34160125588697,212.42356872558594,139.80990600585938,0.0,212423568.72558594
D85b_wc3_h4_kc0.00_kh0.2_s10,D85b,3,4,0.0,0.2,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,203.49766540527344,157.20277404785156,0.0,203497665.40527344
D85b_wc3_h4_kc0.00_kh0.3_s10,D85b,3,4,0.0,0.3,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,203.49766540527344,137.5523681640625,0.0,203497665.40527344
D85b_wc3_h4_kc0.05_kh0.2_s10,D85b,3,4,0.05,0.2,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,193.32275390625,157.20277404785156,0.0,193322753.90625
D85b_wc3_h4_kc0.05_kh0.3_s10,D85b,3,4,0.05,0.3,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,193.32275390625,137.5523681640625,0.0,193322753.90625
D85b_wc3_h4_kc0.10_kh0.2_s10,D85b,3,4,0.1,0.2,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,183.1479034423828,157.20277404785156,0.0,183147903.4423828
D85b_wc3_h4_kc0.10_kh0.3_s10,D85b,3,4,0.1,0.3,10.0,2.0,4.561451247165533,9.587214372928658,14.148665620094192,183.1479034423828,137.5523681640625,0.0,183147903.4423828
